Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,volatility_1h_30d,volume_to_marketcap,circulating_to_total_supply,momentum_diff_7d_30d
121.0,Osmosis,OSMO,0.4824261492442927,-0.4,-2.2,-4.5,156.3,17174602.0,628638059.0,1000000000.0,387368849.0,156.70000000000002,0.04433655944285804,0.628638059,-160.8
122.0,WOO Network,WOO,0.1988508587451652,0.0,-2.3,-14.8,15.8,22740864.0,1772540815.0,2230000000.0,382123712.0,15.8,0.059511784497686446,0.7948613520179372,-30.6
123.0,STEPN,GMT,0.23901690047049992,1.2,-0.9,7.8,78.8,152470737.0,1381830966.0,5370000000.0,379924165.0,77.6,0.4013188710962884,0.25732420223463687,-71.0
124.0,Beam,BEAM,0.009950330853168083,-0.4,1.1,15.3,14.1,19701799.0,44457670333.0,62800000000.0,377630264.0,14.5,0.05217219295750088,0.7079246868312102,1.200000000000001
125.0,Casper Network,CSPR,0.0295588022415444,-0.3,-4.1,-7.4,5.5,6869496.0,11476826594.0,12200000000.0,370704819.0,5.8,0.018530905582859445,0.9407234913114754,-12.9
126.0,Akash Network,AKT,0.9783261227936076,-0.6,7.1,71.2,90.5,8343178.0,221870453.0,222000000.0,369098266.0,91.1,0.02260421889925649,0.9994164549549549,-19.299999999999997
127.0,Terra,LUNA,0.48858001481867097,1.2,3.8,-18.0,52.0,94707227.0,584959462.0,1080000000.0,367720438.0,50.8,0.2575522522357052,0.5416291314814815,-70.0
128.0,1inch,1INCH,0.29266961396282,0.5,-1.5,-6.0,28.2,30902018.0,1040979121.0,1500000000.0,356400022.0,27.7,0.08670599352544373,0.6939860806666667,-34.2
129.0,SingularityNET,AGIX,0.2546422183735807,-0.2,0.4,14.7,56.2,100368709.0,1241997271.0,1350000000.0,354623894.0,56.400000000000006,0.2830286134075331,0.9199979785185185,-41.5
130.0,Aleph Zero,AZERO,0.8796267475025636,0.2,3.3,1.1,87.0,3996914.0,248759366.0,347000000.0,351742872.0,86.8,0.011363169855507406,0.7168857809798271,-85.9
131.0,Oasis Network,ROSE,0.06765864847381481,1.5,1.2,-2.0,60.9,47924568.0,5029357184.0,10000000000.0,348498824.0,59.4,0.1375171584510139,0.5029357184,-62.9
132.0,Zilliqa,ZIL,0.019802627296179712,0.0,-5.0,-7.1,14.0,29390307.0,17324063149.0,18400000000.0,348448907.0,14.0,0.08434610185188499,0.9415251711413043,-21.1
133.0,Compound,COMP,3.928289977892018,0.8,-1.0,-13.9,12.4,76160559.0,6856086.0,10000000.0,341293871.0,11.6,0.22315243686283484,0.6856086,-26.3
134.0,Astar,ASTR,0.058268908123975775,1.3,-0.4,-6.6,49.1,18127493.0,5364861787.0,8270000000.0,340646665.0,47.800000000000004,0.05321494340770957,0.64871363808948,-55.7
135.0,Dash,DASH,3.386083743852107,0.4,-5.6,-9.9,8.3,64333700.0,11548029.0,18900000.0,329669773.0,7.9,0.1951458861835052,0.6110068253968254,-18.200000000000003
136.0,Marinade staked SOL,MSOL,4.158101528024852,0.3,-0.7,-11.4,88.8,19758667.0,5232842.0,5230000.0,329403979.0,88.5,0.05998308538950588,1.0005434034416827,-100.2
137.0,FLOKI,FLOKI,0.23901690047049992,0.1,5.1,-7.5,24.9,31010623.0,9941648926283.0,250000000.0,322471019.0,24.799999999999997,0.09616561232747554,39766.595705132,-32.4
138.0,Huobi BTC,HBTC,8.59919262959722,0.2,-8.4,-9.4,16.7,20815998.0,8969.0,8970.0,317883847.0,16.5,0.06548303160556629,0.9998885172798216,-26.1
139.0,Sei,SEI,0.15700374880966475,5.4,8.1,3.7,66.4,89515149.0,1800000000.0,10000000000.0,313952989.0,61.00000000000001,0.2851227799586262,0.18,-62.7
140.0,Qtum,QTUM,1.3837912309017721,0.2,-3.1,-5.7,26.0,26285225.0,104915108.0,108000000.0,313798983.0,25.8,0.08376453214955129,0.9714361851851852,-31.7
141.0,Flare,FLR,0.009950330853168083,1.1,0.6,-1.2,20.2,9635288.0,28717986141.0,101000000000.0,313376637.0,19.099999999999998,0.030746669861033707,0.28433649644554454,-21.4
142.0,NEM,XEM,0.0295588022415444,0.5,-4.3,-3.1,24.1,4903551.0,8999999999.0,9000000000.0,310280518.0,23.6,0.015803605819686043,0.9999999998888889,-27.200000000000003
143.0,Axelar,AXL,0.49469624183610705,0.5,-0.4,46.4,102.4,19049590.0,478717140.0,1120000000.0,308367748.0,101.9,0.061775558966691936,0.42742601785714285,-56.00000000000001
